"","speaker","plays","count_speaker","count_plays"
"229","leander","De usynlige Komedie i 3 akter, Den honnette ambition Komedie i 3 akter, Den pantsatte bondedreng Komedie i 3 akter, Den stundesløse Komedie i 3 akter, Det arabiske pulver Komedie, Det lykkelige skibbrud Komedie i 5 akter, Diderich Menschenskræk Komedie i 1 akt, Hekseri eller blind alarm Komedie i 5 akter, Henrik og Pernille Komedie i 3 akter, Husspøgelse eller Abracadabra Komedie i 3 akter uden aktricer, Julestue Komedie, Kilderejsen Komedie i 3 akter, Maskerade Komedie, Melampe Tragikomedie, Pernilles korte frøkenstand Komedie i 3 akter, Philosophus i egen indbildning Komedie i 5 akter, Republikken eller Det gemene bedste Komedie i 3 akter, Sganarels rejse til det filosofiske land Komedie i 1 akt hvori skæmtes med de gamle filosofiske sekter, Uden hoved og hale Komedie",2119,19
"230","leander og oldfux","Den stundesløse Komedie i 3 akter",1,1
"231","leander p� kn�","Maskerade Komedie",1,1
"232","leanders v�rt","Julestue Komedie",1,1
"233","leerbeutel","Den pantsatte bondedreng Komedie i 3 akter, Republikken eller Det gemene bedste Komedie i 3 akter",134,2
"234","leonard","Den honnette ambition Komedie i 3 akter, Den stundesløse Komedie i 3 akter, Henrik og Pernille Komedie i 3 akter, Husspøgelse eller Abracadabra Komedie i 3 akter uden aktricer, Jacob von Tyboe eller Den stortalende soldat Komedie, Kilderejsen Komedie i 3 akter, Maskerade Komedie, Mester Gert Westphaler eller Den meget talende barber Komedie i 1 akt, Pernilles korte frøkenstand Komedie i 3 akter",371,9
"235","leonora","Den forvandlede brudgom Komedie i 1 akt uden aktører, Den stundesløse Komedie i 3 akter, Det arabiske pulver Komedie, Det lykkelige skibbrud Komedie i 5 akter, Don Ranudo de Colibrados eller Fattigdom og hoffærdighed Komedie i 5 akter, Henrik og Pernille Komedie i 3 akter, Jacob von Tyboe eller Den stortalende soldat Komedie, Julestue Komedie, Kilderejsen Komedie i 3 akter, Maskerade Komedie, Mester Gert Westphaler eller Den meget talende barber Komedie i 1 akt, Philosophus i egen indbildning Komedie i 5 akter, Republikken eller Det gemene bedste Komedie i 3 akter",562,13
"236","leonore","Den honnette ambition Komedie i 3 akter, Den vægelsindede Komedie i 3 akter, Pernilles korte frøkenstand Komedie i 3 akter",146,3
"237","lisbed","Erasmus Montanus eller Rasmus Berg Komedie i 5 akter",26,1
"238","lucie","Pernilles korte frøkenstand Komedie i 3 akter",10,1
"239","lucilia","Jacob von Tyboe eller Den stortalende soldat Komedie, Melampe Tragikomedie",35,2
"240","lucretia","Den 11. juni, Den vægelsindede Komedie, Den vægelsindede Komedie i 3 akter, Hekseri eller blind alarm Komedie i 5 akter",221,4
"241","madame abrahamsens","Den politiske kandestøber Komedie",4,1
"242","madame la fleche","Jean de France eller Hans Frandsen Komedie",13,1
"243","madame sanderus","Den politiske kandestøber Komedie",4,1
"244","madame st�bi","Den pantsatte bondedreng Komedie i 3 akter",21,1
"245","mademoiselle hiort","Den danske komedies ligbegængelse Med Thaliæ afskedstale, forestillet til allersidste slutning af de danske aktører den 25. februar 1727",10,1
"246","magdelone","De usynlige Komedie i 3 akter, Den honnette ambition Komedie i 3 akter, Den stundesløse Komedie i 3 akter, Det lykkelige skibbrud Komedie i 5 akter, Erasmus Montanus eller Rasmus Berg Komedie i 5 akter, Henrik og Pernille Komedie i 3 akter, Jean de France eller Hans Frandsen Komedie, Julestue Komedie, Kilderejsen Komedie i 3 akter, Maskerade Komedie, Pernilles korte frøkenstand Komedie i 3 akter",418,11
"247","magnus","Jeppe på Bjerget eller Den forvandlede bonde",8,1
"248","mandane","ARTAXERXES et Heroisk Skuespill udi Tre ACTER.",84,1
"249","manden","Den politiske kandestøber Komedie, Den vægelsindede Komedie, Hekseri eller blind alarm Komedie i 5 akter",100,3
"250","manden i portechaisen","Hekseri eller blind alarm Komedie i 5 akter",13,1
"251","marcolfus","Ulysses von Ithacia eller En tysk komedie",25,1
"252","marie","Julestue Komedie, Mester Gert Westphaler eller Den meget talende barber Komedie",20,2
"253","mars","Nytårsprolog til en komedie Allerunderdanigst præsenteret af den hele danske bande 1723",1,1
"254","marthe","Jean de France eller Hans Frandsen Komedie, Uden hoved og hale Komedie",53,2
"255","menander","Plutus eller Proces imellem fattigdom og rigdom En heroisk komedie i 5 akter",5,1
"256","mercurius","Nytårsprolog til en komedie Allerunderdanigst præsenteret af den hele danske bande 1723, Plutus eller Proces imellem fattigdom og rigdom En heroisk komedie i 5 akter",6,2
"257","mester bonifacius","Barselsstuen Komedie",23,1
"258","mester gert westphaler","Den politiske kandestøber Komedie, Mester Gert Westphaler eller Den meget talende barber Komedie, Mester Gert Westphaler eller Den meget talende barber Komedie i 1 akt",560,3
"259","mester herman","Hekseri eller blind alarm Komedie i 5 akter",10,1
"260","mithridates","Ulysses von Ithacia eller En tysk komedie",7,1
"261","momus","Nytårsprolog til en komedie Allerunderdanigst præsenteret af den hele danske bande 1723, Uden hoved og hale Komedie",9,2
"262","montanus","Erasmus Montanus eller Rasmus Berg Komedie i 5 akter",217,1
"263","moralisten","Plutus eller Proces imellem fattigdom og rigdom En heroisk komedie i 5 akter",3,1
"264","musikanten","Den pantsatte bondedreng Komedie i 3 akter, Den vægelsindede Komedie, Den vægelsindede Komedie i 3 akter",24,3
"265","niels","Erasmus Montanus eller Rasmus Berg Komedie i 5 akter, Mester Gert Westphaler eller Den meget talende barber Komedie",15,2
"266","niels christensen","Den 11. juni",35,1
"267","nille","Erasmus Montanus eller Rasmus Berg Komedie i 5 akter, Jeppe på Bjerget eller Den forvandlede bonde",72,2
"268","notarius","Den stundesløse Komedie i 3 akter, Don Ranudo de Colibrados eller Fattigdom og hoffærdighed Komedie i 5 akter, Henrik og Pernille Komedie i 3 akter, Mester Gert Westphaler eller Den meget talende barber Komedie i 1 akt, Pernilles korte frøkenstand Komedie i 3 akter",42,5
"269","novatianus","Republikken eller Det gemene bedste Komedie i 3 akter",20,1
"270","octavius","Husspøgelse eller Abracadabra Komedie i 3 akter uden aktricer",25,1
"271","officeren","Barselsstuen Komedie, Det lykkelige skibbrud Komedie i 5 akter, Diderich Menschenskræk Komedie i 1 akt, Jacob von Tyboe eller Den stortalende soldat Komedie",182,4
